combo,target,draft,split,alpha,k,seed,complete,aggregate,aggregate_mu,memorization,privacy_score,utility,model_utility,forget_quality,exact_memorization,extraction_strength,forget_Q_A_PARA_Prob,forget_Q_A_gibberish,forget_truth_ratio,mia_loss,mia_min_k,mia_min_k_plus_plus,mia_zlib,privleak,retain_Q_A_Prob,retain_Truth_Ratio,ra_Q_A_Prob_normalised,ra_Truth_Ratio,wf_Q_A_Prob_normalised,wf_Truth_Ratio,retain_Q_A_ROUGE,ra_Q_A_ROUGE,wf_Q_A_ROUGE,forget_Q_A_ROUGE,ra_Q_A_Prob,wf_Q_A_Prob,retain_Q_A_PARA_Prob,retain_Q_A_PERT_Prob,ra_Q_A_PERT_Prob,wf_Q_A_PERT_Prob,forget_Q_A_PERT_Prob,eval_seconds,eval_vram_mb,_path
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget01,0.5,1,0,True,0.018943208125102303,0.01891440438649421,0.07341622275595429,0.006973625391148963,0.7409038542985509,0.6285856324706455,0.01430154804770646,0.9790346175432205,0.7302205286631361,0.056268821191042664,0.9020935822278261,0.4950885338107659,0.9974999999999999,0.996875,0.975625,0.9974999999999999,-99.37499998012498,0.9852287466824055,0.5234861577975323,0.3962693213733921,0.5075244906818646,0.48871013269827124,0.6275864216928351,0.9347434829343706,0.9329999999999999,0.8948717948717948,0.8181145127668932,0.014469467683093172,0.006002776401434864,0.05137480021512601,0.019502094190197317,0.005876650757295465,0.001575463525113049,0.023151853617164306,0.196,14315.6,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget01/a0.5_k1_s0
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget01,0.7,1,0,True,0.05985483973312893,0.059594524701085026,0.09434851044877712,0.026209595527471555,0.7308373890326989,0.6300291015245545,0.01430154804770646,0.9725475966930389,0.6565772649043708,0.05102805804926902,0.8700504805892706,0.49907981778405175,0.988125,0.9868750000000001,0.94125,0.9924999999999999,-97.37499998052502,0.9787847656011581,0.5211535867286919,0.3969621550537408,0.5114024793541839,0.49302955848390206,0.630386135711758,0.9214069333389774,0.9273333333333333,0.915954415954416,0.8330894063116325,0.014007314202990529,0.0057542730383328845,0.04688836312619969,0.01760302372181716,0.00556306323031246,0.0014976670318645286,0.02117698690155521,0.191,14315.6,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget01/a0.7_k1_s0
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget01,0.8,1,0,True,0.0778619865843201,0.07747365910876843,0.10736311313578718,0.03594717992027993,0.7158538468344507,0.6289075662283207,0.01430154804770646,0.9684924155473709,0.5957787037881694,0.04843998334836215,0.8306975286453963,0.5016163011350863,0.981875,0.9812500000000001,0.916875,0.990625,-96.24999998075,0.9749591466784477,0.5199926743160236,0.3973507537119733,0.5147994649195939,0.49500172896103306,0.6313396950135607,0.9158944552619667,0.914,0.8988603988603988,0.8219472647344552,0.013783579980672584,0.005636539979398704,0.04473046806640923,0.016694057499546906,0.005401820603157338,0.0014589273531123886,0.020193261614185755,0.195,14315.6,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget01/a0.8_k1_s0
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget01,0.9,1,0,True,0.09772322849669059,0.09706517778463579,0.12270665161106485,0.04725168946074372,0.7214159260925977,0.6272402018153538,0.02860307028023343,0.9633926525712013,0.5556589304822548,0.045899251475930214,0.8488674262538553,0.504408903975971,0.9768749999999999,0.976875,0.8987499999999999,0.986875,-95.37499998092501,0.970726310685277,0.5189293889706671,0.3977742383887592,0.517941284686945,0.4968558667863619,0.6329061051520958,0.8909514541296383,0.9078333333333333,0.8849002849002849,0.7659682054272374,0.01356686718086621,0.005524219893814286,0.04263098089897539,0.015812555613677646,0.005240767240872895,0.0014210448369908796,0.019220609066542237,2106.253,34368.7,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget01/a0.9_k1_s0
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget01,0.95,1,0,True,0.10720771743737384,0.10645386410684853,0.12724175439826632,0.053384265049879184,0.7184458891433886,0.6289089087798394,0.02860307028023343,0.9619348108768463,0.5331609005374164,0.044651077641174194,0.8377095587551594,0.505894659740276,0.974375,0.97375,0.8875000000000001,0.985,-94.74999998105001,0.9684605617821217,0.5184101600914928,0.398000109490001,0.5194683095161874,0.49774023021528147,0.6337245710426329,0.9026876820995315,0.9146666666666667,0.8903133903133904,0.7815323473285976,0.013461434475884744,0.005470201149425269,0.041607320395996794,0.015382323174492054,0.0051608044687323695,0.0014025443467875006,0.01874011449050158,0.195,14315.6,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget01/a0.95_k1_s0
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget05,0.5,1,0,True,0.5660643135531453,0.5655422096617306,0.6176102986235747,0.48260037342631473,0.6216974781424782,0.6198121516240864,1.3921047931216453e-06,0.5810857501626014,0.05447078330989795,0.00735431647660306,0.6235943091171794,0.49396498827497426,0.1804,0.177425,0.198575,0.16277499999999998,27.76871698854169,0.9491497027873993,0.5290995798878151,0.41093441657106233,0.5190286804125658,0.46349594870230004,0.6200281748028756,0.7911841571105908,0.9440000000000001,0.8903133903133902,0.29998415490297237,0.010364586322884861,0.004754472360019326,0.06357544628961477,0.024145571200615206,0.0037528057517503544,0.0012450520136520042,0.004152354206643373,0.195,14315.6,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget05/a0.5_k1_s0
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget05,0.7,1,0,True,0.3090179499901317,0.3143437898791415,0.6277035682742518,0.15879794030935357,0.5501293431420686,0.6048613556441355,0.0002829222008740643,0.5197867998480796,0.0474999114133561,0.001900103831205824,0.5044804819789716,0.44677683512758504,0.051475000000000014,0.05075,0.1356,0.039225000000000024,47.444858644385725,0.8706097206473351,0.5309953998908075,0.4203882062712484,0.534294894540486,0.45809664548859,0.621984323238762,0.6450697592993483,0.8811666666666668,0.8917378917378919,0.26051697232571647,0.009289539705951028,0.004418365859435645,0.05904015576466918,0.021944430842752403,0.0031108994942693853,0.0011247137753332354,0.002073630736968252,0.195,14315.6,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget05/a0.7_k1_s0
original-unlearned,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct_GradDiff,forget05,0.8,1,0,True,0.24285116552497474,0.24983643755852825,0.6152926720331845,0.11467354787732204,0.49810831388300986,0.6016100057876446,2.9607827368482373e-05,0.4948930734395981,0.04468723220311024,0.001034241773127991,0.4249921630555764,0.4043051118215753,0.03500000000000002,0.035125000000000024,0.118425,0.028775000000000023,49.87185460548745,0.8112303630262613,0.5319706463699437,0.4251771381244851,0.543264306766431,0.45514604056449126,0.62470277434863,0.5956405380380471,0.904,0.933048433048433,0.24051398604865942,0.008905554706971089,0.004306829441391432,0.05588895974418847,0.020508772100519098,0.002870724342535216,0.001074267418837665,0.0016373665893160598,0.199,14315.6,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.1-8B-Instruct/draft-Llama-3.1-8B-Instruct_GradDiff/forget05/a0.8_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget01,0.5,1,0,True,0.02004375149797677,0.020006143681163782,0.1451276321023448,0.007076757803325756,0.678221047134542,0.5695402807541596,0.006760732303569208,0.9550941541790963,0.5208374103497158,0.08074950005393475,0.8381604231894016,0.47207362489104765,0.993125,0.994375,0.9781249999999999,0.9987499999999999,-98.93742619146401,0.8695546232163907,0.52040333034818,0.4120981159585201,0.5315903221330891,0.4323849987092206,0.6212621529582473,0.5935136723884287,0.6355,0.805128205128205,0.6405639321087016,0.013475925783677668,0.0042254782135630765,0.07244255444791634,0.03127236781976358,0.0053277249723415335,0.0014746971784432136,0.03321435620775446,741.288,24891.3,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget01/a0.5_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget01,0.7,1,0,True,0.031500160080267146,0.03139488385657576,0.18419094710677889,0.011316843507459585,0.6922328603859575,0.5669062325089709,0.006760732303569208,0.9406448200345039,0.4013589198735977,0.07441178697627038,0.8886984787881375,0.4721389347213334,0.9875,0.99,0.95125,0.998125,-98.11097991062839,0.8636341456323862,0.5216784681170323,0.4113911750823096,0.5330735693658103,0.43128267804031983,0.6213660202567952,0.5825415612806037,0.6053333333333333,0.835042735042735,0.513469450961294,0.012545006022737653,0.0038520030986830866,0.06639934258681024,0.028478695353238537,0.004955099952652518,0.001324250878674914,0.030331307510496112,746.621,24891.3,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget01/a0.7_k1_s0
