target,method,split,row_kind,rank,tied_at_rank,alpha,aggregate,memorization,privacy_score,utility,model_utility,forget_quality,forget_Q_A_gibberish,privleak,R8,beats_q_on_aggregate,q_rank_among_6,q_collapsed,degenerate_priv0,alpha_at_grid_edge,baseline_lr,baseline_epochs,baseline_retain_loss_type
Llama-3.2-1B-Instruct,GradDiff,forget01,sud,1,False,0.9,0.06915905046666775,0.21568675059413905,0.026847733851829973,0.668974364016274,0.5680080816274305,0.006760732303569208,0.8135949411429465,-97.40259738419785,2.62,False,1.0,False,False,False,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget01,sud,2,False,0.95,0.0760848849499086,0.22156892753435445,0.02993831549970706,0.6603432859972678,0.5606801028763934,0.006760732303569208,0.8030970787862316,-96.81227861217242,2.75,False,1.0,False,False,True,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget01,sud,3,False,0.7,0.031500160080267146,0.18419094710677889,0.011316843507459585,0.6922328603859575,0.5669062325089709,0.006760732303569208,0.8886984787881375,-98.11097991062839,3.0,False,1.0,False,False,False,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget01,baseline_q,,,,0.0852185134121153,0.2286917267209088,0.0339696139625564,0.7179545964282855,0.5882609893235692,0.0067607323035692,0.9210089892148972,-96.45808734895716,,,1.0,False,False,,2e-05,5.0,NLL
Llama-3.2-1B-Instruct,GradDiff,forget01,reference_p,,,,,0.06887851270800835,0.0,,0.5991534707368931,0.006760732303569208,,-99.9999999811098,,,,,,,,,
Llama-3.2-1B-Instruct,IdkDPO,forget01,sud,1,False,0.9,0.02392567511464868,0.21746388510965434,0.008384446753551484,0.6572924253989287,0.52449470053984,0.006760732303569208,0.8801354496739805,-98.93742619146401,2.5,False,1.0,True,False,False,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget01,sud,2,False,0.95,0.026414645474506317,0.23193283137612136,0.009283987353543051,0.6454004499564423,0.5226358793542821,0.006760732303569208,0.8435449713841081,-98.58323492824873,2.75,False,1.0,True,False,True,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget01,sud,3,False,0.5,0.0,0.1262374727205905,0.0,0.6784737683035521,0.5472851816267611,0.006760732303569208,0.8923856720328331,-99.88193622670471,3.0,False,1.0,True,False,False,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget01,baseline_q,,,,0.0414683346344781,0.2513757066773666,0.0149363646086385,0.7064381233160183,0.5715985762827183,0.0067607323035692,0.9245350375771524,-98.46517117384364,,,1.0,True,False,,1e-05,10.0,NLL
Llama-3.2-1B-Instruct,IdkDPO,forget01,reference_p,,,,,0.06887851270800835,0.0,,0.5991534707368931,0.006760732303569208,,-99.9999999811098,,,,,,,,,
